"SourceAdd","SourcePort","DestinationAdd","DestinationPort","Protocol","Length","TCP Window Size","TCP Length","UDP Length","HTTP Request Method"
"192.168.200.1","56978","10.65.170.58","80","TCP","66","254","0","",""
"10.65.170.58","80","192.168.200.1","56978","TCP","54","0","0","",""
"192.168.200.1","56978","10.65.170.58","80","TCP","66","254","0","",""
"10.65.170.58","80","192.168.200.1","56978","TCP","54","0","0","",""
"192.168.200.1","56980","10.65.170.58","80","TCP","74","29200","0","",""
"10.65.170.58","80","192.168.200.1","56980","TCP","74","14480","0","",""
"192.168.200.1","56980","10.65.170.58","80","TCP","66","29312","0","",""
"192.168.200.1","56980","10.65.170.58","80","HTTP","374","29312","308","","HEAD"
"10.65.170.58","80","192.168.200.1","56980","TCP","66","15552","0","",""
"10.65.170.58","80","192.168.200.1","56980","HTTP","284","15552","218","",""
"192.168.200.1","56980","10.65.170.58","80","TCP","66","30336","0","",""
"192.168.200.1","56980","10.65.170.58","80","HTTP","425","30336","359","","HEAD"
"10.65.170.58","80","192.168.200.1","56980","HTTP","338","16624","272","",""
"192.168.200.1","56980","10.65.170.58","80","HTTP","373","31360","307","","HEAD"
"10.65.170.58","80","192.168.200.1","56980","HTTP","333","17696","267","",""
"192.168.200.1","56980","10.65.170.58","80","TCP","66","32512","0","",""
"192.168.200.1","56978","10.65.170.58","80","TCP","66","254","0","",""
"10.65.170.58","80","192.168.200.1","56978","TCP","54","0","0","",""
"10.65.170.58","80","192.168.200.1","56980","TCP","66","17696","0","",""
"192.168.200.1","56980","10.65.170.58","80","TCP","66","32512","0","",""
"192.168.200.1","56980","10.65.170.58","80","TCP","66","32512","0","",""
"10.65.170.58","80","192.168.200.1","56980","TCP","66","17696","0","",""
"fe:ff:ff:ff:ff:ff","","22:00:0a:41:aa:3a","","ARP","42","","","",""
"22:00:0a:41:aa:3a","","fe:ff:ff:ff:ff:ff","","ARP","42","","","",""
"192.168.200.1","56982","10.65.170.58","80","TCP","74","29200","0","",""
"10.65.170.58","80","192.168.200.1","56982","TCP","74","14480","0","",""
"192.168.200.1","56982","10.65.170.58","80","TCP","66","29312","0","",""
"192.168.200.1","56982","10.65.170.58","80","HTTP","341","29312","275","","HEAD"
"10.65.170.58","80","192.168.200.1","56982","TCP","66","15552","0","",""
"10.65.170.58","80","192.168.200.1","56982","HTTP","284","15552","218","",""
"192.168.200.1","56982","10.65.170.58","80","TCP","66","30336","0","",""
"192.168.200.1","56982","10.65.170.58","80","HTTP","392","30336","326","","HEAD"
"10.65.170.58","80","192.168.200.1","56982","TCP","66","16624","0","",""
"10.65.170.58","80","192.168.200.1","56982","HTTP","338","16624","272","",""
"192.168.200.1","56982","10.65.170.58","80","HTTP","340","31360","274","","HEAD"
"10.65.170.58","80","192.168.200.1","56982","TCP","66","17696","0","",""
"10.65.170.58","80","192.168.200.1","56982","HTTP","333","17696","267","",""
"192.168.200.1","56982","10.65.170.58","80","TCP","66","32512","0","",""
"192.168.200.1","56978","10.65.170.58","80","TCP","66","254","0","",""
"10.65.170.58","80","192.168.200.1","56978","TCP","54","0","0","",""
"10.65.170.58","80","192.168.200.1","56982","TCP","66","17696","0","",""
"192.168.200.1","56982","10.65.170.58","80","TCP","66","32512","0","",""
"192.168.200.1","56982","10.65.170.58","80","TCP","66","32512","0","",""
