"SourceAdd","SourcePort","DestinationAdd","DestinationPort","Protocol","Length","TCP Window Size","TCP Length","UDP Length","HTTP Request Method"
"192.168.1.254","59360","122.225.98.197","80","TCP","66","8192","0","",""
"122.225.98.197","80","192.168.1.254","59360","TCP","66","5840","0","",""
"192.168.1.254","59360","122.225.98.197","80","TCP","60","66560","0","",""
"192.168.1.254","59360","122.225.98.197","80","HTTP","345","66560","291","","GET"
"122.225.98.197","80","192.168.1.254","59360","TCP","60","6432","0","",""
"122.225.98.197","80","192.168.1.254","59360","HTTP","128","8192","74","",""
"122.225.98.197","80","192.168.1.254","59360","TCP","737","6432","683","",""
"192.168.1.254","59360","122.225.98.197","80","TCP","66","66560","0","",""
"192.168.1.254","59360","122.225.98.197","80","TCP","60","66560","0","",""
"122.225.98.197","80","192.168.1.254","59360","TCP","60","0","0","",""
"122.225.98.197","80","192.168.1.254","59360","TCP","60","0","0","",""
"192.168.1.254","59362","103.235.46.234","80","TCP","66","8192","0","",""
"103.235.46.234","80","192.168.1.254","59362","TCP","66","8192","0","",""
"192.168.1.254","59362","103.235.46.234","80","TCP","60","66560","0","",""
"192.168.1.254","59362","103.235.46.234","80","HTTP","367","66560","313","","GET"
"103.235.46.234","80","192.168.1.254","59362","TCP","60","15744","0","",""
"192.168.1.254","59362","103.235.46.234","80","TCP","60","66560","0","",""
"103.235.46.234","80","192.168.1.254","59362","TCP","2894","15744","2840","",""
"103.235.46.234","80","192.168.1.254","59362","TCP","1310","15744","1256","",""
"192.168.1.254","59362","103.235.46.234","80","TCP","60","66560","0","",""
"103.235.46.234","80","192.168.1.254","59362","TCP","2894","15744","2840","",""
"103.235.46.234","80","192.168.1.254","59362","TCP","1310","15744","1256","",""
"192.168.1.254","59362","103.235.46.234","80","TCP","60","65280","0","",""
"103.235.46.234","80","192.168.1.254","59362","TCP","1474","15744","1420","",""
"103.235.46.234","80","192.168.1.254","59362","TCP","2730","15744","2676","",""
"192.168.1.254","59362","103.235.46.234","80","TCP","60","66560","0","",""
"103.235.46.234","80","192.168.1.254","59362","TCP","1474","15744","1420","",""
"192.168.1.254","59362","103.235.46.234","80","TCP","60","66560","0","",""
"192.168.1.254","59362","103.235.46.234","80","TCP","66","66560","0","",""
"103.235.46.234","80","192.168.1.254","59362","TCP","1474","15744","1420","",""
"103.235.46.234","80","192.168.1.254","59362","TCP","1474","15744","1420","",""
"192.168.1.254","59362","103.235.46.234","80","TCP","60","66560","0","",""
"103.235.46.234","80","192.168.1.254","59362","TCP","1474","15744","1420","",""
"103.235.46.234","80","192.168.1.254","59362","TCP","1474","15744","1420","",""
"192.168.1.254","59362","103.235.46.234","80","TCP","60","66560","0","",""
"103.235.46.234","80","192.168.1.254","59362","TCP","1474","15744","1420","",""
"103.235.46.234","80","192.168.1.254","59362","TCP","1474","15744","1420","",""
"192.168.1.254","59362","103.235.46.234","80","TCP","60","66560","0","",""
"103.235.46.234","80","192.168.1.254","59362","TCP","1474","15744","1420","",""
"192.168.1.254","59362","103.235.46.234","80","TCP","60","66560","0","",""
"103.235.46.234","80","192.168.1.254","59362","TCP","1474","15744","1420","",""
"103.235.46.234","80","192.168.1.254","59362","TCP","1474","15744","1420","",""
"192.168.1.254","59362","103.235.46.234","80","TCP","60","66560","0","",""
"103.235.46.234","80","192.168.1.254","59362","TCP","1474","15744","1420","",""
"192.168.1.254","59362","103.235.46.234","80","TCP","60","66560","0","",""
"103.235.46.234","80","192.168.1.254","59362","TCP","1474","15744","1420","",""
"103.235.46.234","80","192.168.1.254","59362","TCP","1474","15744","1420","",""
"192.168.1.254","59362","103.235.46.234","80","TCP","60","66560","0","",""
"103.235.46.234","80","192.168.1.254","59362","TCP","1474","15744","1420","",""
"103.235.46.234","80","192.168.1.254","59362","TCP","1474","15744","1420","",""
"192.168.1.254","59362","103.235.46.234","80","TCP","60","66560","0","",""
"103.235.46.234","80","192.168.1.254","59362","TCP","1474","15744","1420","",""
"192.168.1.254","59362","103.235.46.234","80","TCP","60","66560","0","",""
"103.235.46.234","80","192.168.1.254","59362","TCP","2894","15744","2840","",""
"103.235.46.234","80","192.168.1.254","59362","TCP","1474","15744","1420","",""
"192.168.1.254","59362","103.235.46.234","80","TCP","60","66560","0","",""
"103.235.46.234","80","192.168.1.254","59362","TCP","1474","15744","1420","",""
"103.235.46.234","80","192.168.1.254","59362","TCP","1474","15744","1420","",""
"192.168.1.254","59362","103.235.46.234","80","TCP","60","66560","0","",""
"103.235.46.234","80","192.168.1.254","59362","TCP","2894","15744","2840","",""
"192.168.1.254","59362","103.235.46.234","80","TCP","60","66560","0","",""
