"SourceAdd","SourcePort","DestinationAdd","DestinationPort","Protocol","Length","TCP Window Size","TCP Length","UDP Length","HTTP Request Method"
"192.168.3.131","57011","72.14.213.138","80","HTTP","997","16288","943","","GET"
"72.14.213.138","80","192.168.3.131","57011","HTTP","440","947","386","",""
"192.168.3.131","55950","72.14.213.102","80","TCP","66","8192","0","",""
"192.168.3.131","57011","72.14.213.138","80","TCP","54","16192","0","",""
"72.14.213.102","80","192.168.3.131","55950","TCP","66","5720","0","",""
"192.168.3.131","55950","72.14.213.102","80","TCP","54","65780","0","",""
"192.168.3.131","55950","72.14.213.102","80","HTTP","998","65780","944","","GET"
"192.168.3.131","55950","72.14.213.102","80","TCP","54","65780","0","",""
"72.14.213.102","80","192.168.3.131","55950","TCP","60","7616","0","",""
"72.14.213.102","80","192.168.3.131","55950","HTTP","541","7616","487","",""
"192.168.3.131","55950","72.14.213.102","80","TCP","54","0","0","",""
"72.14.213.102","80","192.168.3.131","55950","TCP","60","7616","0","",""
"192.168.3.131","52152","72.14.213.147","443","TCP","66","8192","0","",""
"72.14.213.147","443","192.168.3.131","52152","TCP","66","5720","0","",""
"192.168.3.131","52152","72.14.213.147","443","TCP","54","65780","0","",""
"192.168.3.131","52152","72.14.213.147","443","TLSv1","231","65780","177","",""
"72.14.213.147","443","192.168.3.131","52152","TCP","60","6848","0","",""
"72.14.213.147","443","192.168.3.131","52152","TLSv1","1484","6848","1430","",""
"72.14.213.147","443","192.168.3.131","52152","TLSv1","345","6848","291","",""
"192.168.3.131","52152","72.14.213.147","443","TCP","54","65780","0","",""
"192.168.3.131","52152","72.14.213.147","443","TLSv1","329","65780","275","",""
"72.14.213.147","443","192.168.3.131","52152","TLSv1","280","7872","226","",""
"72.14.213.147","443","192.168.3.131","52152","TLSv1","99","7872","45","",""
"72.14.213.147","443","192.168.3.131","52152","TCP","60","13632","0","",""
"192.168.3.131","52152","72.14.213.147","443","TCP","54","65508","0","",""
"192.168.3.131","55953","65.55.206.209","80","TCP","66","8192","0","",""
"72.14.213.147","443","192.168.3.131","52152","TLSv1","440","13632","386","",""
"72.14.213.147","443","192.168.3.131","52152","TLSv1","1484","13632","1430","",""
"72.14.213.147","443","192.168.3.131","52152","TLSv1","100","13632","46","",""
"192.168.3.131","52152","72.14.213.147","443","TCP","54","65780","0","",""
"72.14.213.147","443","192.168.3.131","52152","TLSv1","1484","13632","1430","",""
"72.14.213.147","443","192.168.3.131","52152","TLSv1","1085","13632","1031","",""
"192.168.3.131","52152","72.14.213.147","443","TCP","54","65780","0","",""
"72.14.213.147","443","192.168.3.131","52152","TLSv1","1484","13632","1430","",""
"72.14.213.147","443","192.168.3.131","52152","TLSv1","100","13632","46","",""
"192.168.3.131","52152","72.14.213.147","443","TCP","54","65780","0","",""
"72.14.213.147","443","192.168.3.131","52152","TLSv1","1484","13632","1430","",""
"72.14.213.147","443","192.168.3.131","52152","TLSv1","684","13632","630","",""
"192.168.3.131","52152","72.14.213.147","443","TCP","54","65780","0","",""
"72.14.213.147","443","192.168.3.131","52152","TLSv1","1484","13632","1430","",""
"72.14.213.147","443","192.168.3.131","52152","TLSv1","1484","13632","1430","",""
"72.14.213.147","443","192.168.3.131","52152","TLSv1","198","13632","144","",""
"192.168.3.131","52152","72.14.213.147","443","TCP","54","65780","0","",""
"72.14.213.147","443","192.168.3.131","52152","TLSv1","863","13632","809","",""
"65.55.206.209","80","192.168.3.131","55953","TCP","60","8190","0","",""
"192.168.3.131","55953","65.55.206.209","80","TCP","54","64240","0","",""
"192.168.3.131","55953","65.55.206.209","80","HTTP","515","64240","461","","GET"
"192.168.3.131","52152","72.14.213.147","443","TLSv1","303","64968","249","",""
"72.14.213.147","443","192.168.3.131","52152","TLSv1","1484","13632","1430","",""
"72.14.213.147","443","192.168.3.131","52152","TLSv1","1484","13632","1430","",""
"72.14.213.147","443","192.168.3.131","52152","TLSv1","173","13632","119","",""
"192.168.3.131","52152","72.14.213.147","443","TCP","54","65780","0","",""
"72.14.213.147","443","192.168.3.131","52152","TLSv1","1484","13632","1430","",""
"72.14.213.147","443","192.168.3.131","52152","TLSv1","1484","13632","1430","",""
"192.168.3.131","52152","72.14.213.147","443","TCP","54","65780","0","",""
"72.14.213.147","443","192.168.3.131","52152","TLSv1","1391","13632","1337","",""
"72.14.213.147","443","192.168.3.131","52152","TLSv1","1484","13632","1430","",""
"72.14.213.147","443","192.168.3.131","52152","TLSv1","1484","13632","1430","",""
"72.14.213.147","443","192.168.3.131","52152","TLSv1","131","13632","77","",""
"192.168.3.131","52152","72.14.213.147","443","TCP","54","65780","0","",""
"72.14.213.147","443","192.168.3.131","52152","TLSv1","1298","13632","1244","",""
"72.14.213.147","443","192.168.3.131","52152","TLSv1","135","16448","81","",""
"192.168.3.131","52152","72.14.213.147","443","TCP","54","64452","0","",""
"72.14.213.147","443","192.168.3.131","52152","TLSv1","87","16448","33","",""
"192.168.3.131","57011","72.14.213.138","80","HTTP","999","16192","945","","GET"
"65.55.206.209","80","192.168.3.131","55953","HTTP","350","65535","296","",""
"72.14.213.138","80","192.168.3.131","57011","HTTP","523","980","469","",""
"72.14.213.147","443","192.168.3.131","52152","TCP","60","22208","0","",""
"192.168.3.131","55954","65.55.17.37","80","TCP","66","8192","0","",""
"72.14.213.147","443","192.168.3.131","52152","TCP","60","27904","0","",""
"65.55.17.37","80","192.168.3.131","55954","TCP","60","8190","0","",""
"192.168.3.131","55954","65.55.17.37","80","TCP","54","64240","0","",""
"192.168.3.131","55954","65.55.17.37","80","HTTP","653","64240","599","","GET"
"65.55.17.37","80","192.168.3.131","55954","TCP","1514","8190","1460","",""
"65.55.17.37","80","192.168.3.131","55954","TCP","1514","8190","1460","",""
"192.168.3.131","55954","65.55.17.37","80","TCP","54","64240","0","",""
"65.55.17.37","80","192.168.3.131","55954","TCP","1514","8190","1460","",""
"65.55.17.37","80","192.168.3.131","55954","TCP","1514","8190","1460","",""
"192.168.3.131","55954","65.55.17.37","80","TCP","54","64240","0","",""
"65.55.17.37","80","192.168.3.131","55954","TCP","1514","8190","1460","",""
"65.55.17.37","80","192.168.3.131","55954","TCP","1514","8190","1460","",""
"65.55.17.37","80","192.168.3.131","55954","TCP","1514","8190","1460","",""
"192.168.3.131","55954","65.55.17.37","80","TCP","54","64240","0","",""
"65.55.17.37","80","192.168.3.131","55954","TCP","1514","8190","1460","",""
"65.55.17.37","80","192.168.3.131","55954","TCP","1514","8190","1460","",""
"192.168.3.131","55954","65.55.17.37","80","TCP","54","64240","0","",""
"65.55.17.37","80","192.168.3.131","55954","TCP","1514","8190","1460","",""
"65.55.17.37","80","192.168.3.131","55954","TCP","1514","8190","1460","",""
"65.55.17.37","80","192.168.3.131","55954","TCP","1514","8190","1460","",""
"192.168.3.131","55954","65.55.17.37","80","TCP","54","64240","0","",""
"65.55.17.37","80","192.168.3.131","55954","TCP","1514","8190","1460","",""
"65.55.17.37","80","192.168.3.131","55954","TCP","1514","8190","1460","",""
"65.55.17.37","80","192.168.3.131","55954","TCP","1514","8190","1460","",""
"65.55.17.37","80","192.168.3.131","55954","HTTP","1455","8190","1401","",""
